movie_id,title,genres,year,cleaned_title
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story
2,Jumanji (1995),Adventure|Children|Fantasy,1995,Jumanji
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,Waiting to Exhale
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II
6,Heat (1995),Action|Crime|Thriller,1995,Heat
7,Sabrina (1995),Comedy|Romance,1995,Sabrina
8,Tom and Huck (1995),Adventure|Children,1995,Tom and Huck
9,Sudden Death (1995),Action,1995,Sudden Death
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It
13,Balto (1995),Adventure|Animation|Children,1995,Balto
14,Nixon (1995),Drama,1995,Nixon
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island
16,Casino (1995),Crime|Drama,1995,Casino
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility
18,Four Rooms (1995),Comedy,1995,Four Rooms
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,Money Train
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,Get Shorty
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,Copycat
23,Assassins (1995),Action|Crime|Thriller,1995,Assassins
24,Powder (1995),Drama|Sci-Fi,1995,Powder
25,Leaving Las Vegas (1995),Drama|Romance,1995,Leaving Las Vegas
26,Othello (1995),Drama,1995,Othello
27,Now and Then (1995),Children|Drama,1995,Now and Then
28,Persuasion (1995),Drama|Romance,1995,Persuasion
29,"City of Lost Children, The (Cit̩ des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,"City of Lost Children, The (Cit̩ des enfants perdus, La)"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,Shanghai Triad (Yao a yao yao dao waipo qiao)
31,Dangerous Minds (1995),Drama,1995,Dangerous Minds
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,Twelve Monkeys (a.k.a. 12 Monkeys)
33,Wings of Courage (1995),Adventure|Romance|IMAX,1995,Wings of Courage
34,Babe (1995),Children|Drama,1995,Babe
